FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_hydro_2020.166,166,Chicago Park,Nevada Irrigation District,IPP Non-CHP,Colfax,Nevada,California,95713,hydroelectric,44,Conventional Hydroelectric
powerplant_hydro_2020.167,167,Dutch Flat 2,Nevada Irrigation District,IPP Non-CHP,Dutch Flat,Nevada,California,95714,hydroelectric,27.3,Conventional Hydroelectric
powerplant_hydro_2020.168,168,Beardsley,Oakdale&South San Joaquin Irrigation D.,IPP Non-CHP,None,Tuolumne,California,95364,hydroelectric,11,Conventional Hydroelectric
powerplant_hydro_2020.169,169,Donnells,Oakdale&South San Joaquin Irrigation D.,IPP Non-CHP,None,Tuolumne,California,95364,hydroelectric,72,Conventional Hydroelectric
powerplant_hydro_2020.170,170,Tulloch,Oakdale&South San Joaquin Irrigation D.,IPP Non-CHP,Jamestown,Tuolumne,California,95370,hydroelectric,25.5,Conventional Hydroelectric
powerplant_hydro_2020.171,171,Forbestown,South Feather Water and Power Agency,Electric Utility,Forbestown,Butte,California,95941,hydroelectric,37.5,Conventional Hydroelectric
powerplant_hydro_2020.172,172,Kelly Ridge,South Feather Water and Power Agency,Electric Utility,Oroville,Butte,California,95965,hydroelectric,10,Conventional Hydroelectric
powerplant_hydro_2020.173,173,Woodleaf,South Feather Water and Power Agency,Electric Utility,Forbestown,Butte,California,95941,hydroelectric,60,Conventional Hydroelectric
powerplant_hydro_2020.174,174,French Meadows,Placer County Water Agency,Electric Utility,Foresthill,Placer,California,95631,hydroelectric,16,Conventional Hydroelectric
powerplant_hydro_2020.175,175,Middle Fork,Placer County Water Agency,Electric Utility,Foresthill,Placer,California,95631,hydroelectric,132,Conventional Hydroelectric
powerplant_hydro_2020.176,176,Oxbow (CA),Placer County Water Agency,Electric Utility,Foresthill,Placer,California,95631,hydroelectric,6,Conventional Hydroelectric
powerplant_hydro_2020.177,177,Ralston,Placer County Water Agency,Electric Utility,Foresthill,Placer,California,95631,hydroelectric,86,Conventional Hydroelectric
powerplant_hydro_2020.178,178,Parker,Merced Irrigation District,IPP Non-CHP,Snelling,Merced,California,95344,hydroelectric,2.7,Conventional Hydroelectric
powerplant_hydro_2020.179,179,Camino,Sacramento Municipal Util Dist,Electric Utility,Camino,El Dorado,California,95726,hydroelectric,155.9,Conventional Hydroelectric
powerplant_hydro_2020.180,180,Jaybird,Sacramento Municipal Util Dist,Electric Utility,Camino,El Dorado,California,95725,hydroelectric,156.2,Conventional Hydroelectric
powerplant_hydro_2020.181,181,Loon Lake,Sacramento Municipal Util Dist,Electric Utility,Fresh Pond,El Dorado,California,95726,hydroelectric,74.1,Conventional Hydroelectric
powerplant_hydro_2020.182,182,Robbs Peak,Sacramento Municipal Util Dist,Electric Utility,Fresh Pond,El Dorado,California,95726,hydroelectric,25.5,Conventional Hydroelectric
powerplant_hydro_2020.183,183,White Rock/Slab Creek,Sacramento Municipal Util Dist,Electric Utility,Placerville,El Dorado,California,95709,hydroelectric,241.5,Conventional Hydroelectric
powerplant_hydro_2020.184,184,Devil Canyon,California Dept. of Water Resources,Electric Utility,San Bernardino,San Bernardino,California,92407,hydroelectric,262,Conventional Hydroelectric
powerplant_hydro_2020.185,185,Edward C Hyatt,California Dept. of Water Resources,Electric Utility,Oroville,Butte,California,95966,hydroelectric,743.1,Hydroelectric Pumped Storage; Conventional Hydroelectric;
powerplant_hydro_2020.186,186,Don Pedro,Turlock Irrigation District,Electric Utility,La Grange,Tuolumne,California,95329,hydroelectric,203.2,Conventional Hydroelectric
powerplant_hydro_2020.187,187,La Grange,Turlock Irrigation District,Electric Utility,La Grange,Stanislaus,California,95329,hydroelectric,4.3,Conventional Hydroelectric
powerplant_hydro_2020.188,188,Folsom,U S Bureau of Reclamation,Electric Utility,Folsom,Sacramento,California,95630,hydroelectric,215.1,Conventional Hydroelectric
powerplant_hydro_2020.189,189,Judge F Carr,U S Bureau of Reclamation,Electric Utility,French Gulch,Shasta,California,96003,hydroelectric,177.4,Conventional Hydroelectric
powerplant_hydro_2020.190,190,Keswick,U S Bureau of Reclamation,Electric Utility,Redding,Shasta,California,96003,hydroelectric,117,Conventional Hydroelectric
powerplant_hydro_2020.191,191,Nimbus,U S Bureau of Reclamation,Electric Utility,Folsom,Sacramento,California,95630,hydroelectric,16.6,Conventional Hydroelectric
powerplant_hydro_2020.192,192,Shasta,U S Bureau of Reclamation,Electric Utility,Redding,Shasta,California,96003,hydroelectric,714,Conventional Hydroelectric
powerplant_hydro_2020.193,193,Parker Dam,U S Bureau of Reclamation,Electric Utility,Parker,San Bernardino,California,92267,hydroelectric,120,Conventional Hydroelectric
powerplant_hydro_2020.574,574,Prospect 1,PacifiCorp,Electric Utility,Prospect,Jackson,Oregon,97536,hydroelectric,4.6,Conventional Hydroelectric
powerplant_hydro_2020.194,194,Spring Creek,U S Bureau of Reclamation,Electric Utility,Redding,Shasta,California,96003,hydroelectric,180,Conventional Hydroelectric
powerplant_hydro_2020.195,195,Trinity,U S Bureau of Reclamation,Electric Utility,Weaverville,Trinity,California,96003,hydroelectric,140,Conventional Hydroelectric
powerplant_hydro_2020.196,196,Colgate,Yuba County Water Agency,Electric Utility,Dobbins,Yuba,California,95935,hydroelectric,315,Conventional Hydroelectric
powerplant_hydro_2020.197,197,Narrows 2,Yuba County Water Agency,Electric Utility,Browns Valley,Yuba,California,95918,hydroelectric,46.7,Conventional Hydroelectric
powerplant_hydro_2020.198,198,Bear Valley,City of Escondido - (CA),Electric Utility,Escondido,San Diego,California,92027,hydroelectric,1.4,Conventional Hydroelectric
powerplant_hydro_2020.199,199,Boulder Canyon Hydro,Boulder City of,IPP Non-CHP,Boulder,Boulder,Colorado,80306,hydroelectric,5,Conventional Hydroelectric
powerplant_hydro_2020.200,200,Georgetown Hydro,Public Service Co of Colorado,Electric Utility,Georgetown,Clear Creek,Colorado,80444,hydroelectric,1.6,Conventional Hydroelectric
powerplant_hydro_2020.201,201,Grand Valley Project Power Plant,Orchard Mesa Irrigation District,Electric Utility,Palisade,Mesa,Colorado,81526,hydroelectric,1.5,Conventional Hydroelectric
powerplant_hydro_2020.202,202,Salida,Public Service Co of Colorado,Electric Utility,Salida,Chaffee,Colorado,81201,hydroelectric,0.6,Conventional Hydroelectric
powerplant_hydro_2020.203,203,Shoshone (CO),Public Service Co of Colorado,Electric Utility,Glenwood Springs,Garfield,Colorado,81601,hydroelectric,15,Conventional Hydroelectric
powerplant_hydro_2020.204,204,Temescal,Metropolitan Water District of S CA,Electric Utility,Corona,Riverside,California,91720,hydroelectric,2.8,Conventional Hydroelectric
