FID,ogc_fid,plant_name,utility_na,sector_nam,city,county,statename,zip,primsource,total_mw,tech_desc
powerplant_coal_2020.213,213,Foster Wheeler Mt Carmel Cogen,Mount Carmel Cogen Inc,IPP CHP,Marion Heights,Northumberland,Pennsylvania,17832,coal,43,Conventional Steam Coal
powerplant_coal_2020.214,214,Amalgamated Sugar Twin Falls,The Amalgamated Sugar Co,Industrial CHP,Twin Falls,Twin Falls,Idaho,83301,coal,8.5,Conventional Steam Coal
powerplant_coal_2020.215,215,Chambers Cogeneration LP,US Operating Services Company,IPP CHP,Carneys Point,Salem,New Jersey,8069,coal,244,Conventional Steam Coal
powerplant_coal_2020.216,216,Ebensburg Power,Ebensburg Power Co,IPP CHP,Ebensburg,Cambria,Pennsylvania,15931,coal,50,Conventional Steam Coal
powerplant_coal_2020.217,217,River Valley,Oklahoma Gas & Electric Co,IPP CHP,Panama,Le Flore,Oklahoma,74951,coal,320,Conventional Steam Coal
powerplant_coal_2020.218,218,AES Hawaii,AES Hawaii LLC,IPP CHP,Kapolei,Honolulu,Hawaii,96707,coal,180,Conventional Steam Coal
powerplant_coal_2020.219,219,AES Warrior Run Cogeneration Facility,AES WR Ltd Partnership,IPP CHP,Cumberland,Allegany,Maryland,21502,coal,180,Conventional Steam Coal
powerplant_coal_2020.220,220,Argus Cogen Plant,Searles Valley Minerals Operations Inc.,Industrial CHP,Trona,San Bernardino,California,93562,coal,57,Conventional Steam Coal
powerplant_coal_2020.221,221,Colstrip Energy LP,Colstrip Energy LP,IPP Non-CHP,Colstrip,Rosebud,Montana,59323,coal,38,Conventional Steam Coal
powerplant_coal_2020.222,222,Silver Bay Power,Cleveland Cliffs Inc,Industrial CHP,Silver Bay,Lake,Minnesota,55614,coal,105,Conventional Steam Coal
powerplant_coal_2020.223,223,Archer Daniels Midland Clinton,Archer Daniels Midland Co,Industrial CHP,Clinton,Clinton,Iowa,52732,coal,180,Conventional Steam Coal
powerplant_coal_2020.224,224,Archer Daniels Midland Des Moines,Archer Daniels Midland Co,Industrial CHP,Des Moines,Polk,Iowa,50316,coal,7.9,Conventional Steam Coal
powerplant_coal_2020.225,225,Archer Daniels Midland Lincoln,Archer Daniels Midland Co,Industrial CHP,Lincoln,Lancaster,Nebraska,68507,coal,7.9,Conventional Steam Coal
powerplant_coal_2020.226,226,Archer Daniels Midland Mankato,Archer Daniels Midland Co,Industrial CHP,Mankato,Blue Earth,Minnesota,56001,coal,6.2,Conventional Steam Coal
